deltaE,probe,matchedHex,isBackground,sharePercent,memberBins,labDistanceToProbe
17.5,"background (deltaE=14 anchor)",#c6b7a1,true,75.9298,71,0.97
17.5,"highlight/cream",#f7eee3,false,0.5398,8,4.00
17.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
17.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
17.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
17.5,"green-accent",#6a7970,false,0.2460,24,6.69
17.5,"gray-accent",#6a7970,false,0.2460,24,7.70
18,"background (deltaE=14 anchor)",#c5b6a1,true,77.1415,74,1.10
18,"highlight/cream",#f7eee5,false,0.5174,6,4.76
18,"ink-dark",#2e1e11,false,2.2543,14,0.00
18,"ink-mid",#4e3b2c,false,5.7252,17,0.00
18,"blue-accent",#4e5c6d,false,0.1726,12,0.00
18,"green-accent",#748670,false,0.0771,9,3.25
18,"gray-accent",#767a74,false,0.3282,19,4.73
18.5,"background (deltaE=14 anchor)",#c5b6a1,true,77.2365,77,1.10
18.5,"highlight/cream",#faf1e5,false,0.4283,4,4.47
18.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
18.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
18.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
18.5,"green-accent",#748670,false,0.0771,9,3.25
18.5,"gray-accent",#767a74,false,0.3282,19,4.73
19,"background (deltaE=14 anchor)",#c5b6a1,true,77.8843,81,1.10
19,"highlight/cream",#fdf5e5,false,0.2512,3,5.21
19,"ink-dark",#2e1e11,false,2.2543,14,0.00
19,"ink-mid",#4e3b2c,false,5.7252,17,0.00
19,"blue-accent",#4e5c6d,false,0.1726,12,0.00
19,"green-accent",#687b67,false,0.1258,12,1.33
19,"gray-accent",#7b7c78,false,0.2722,15,4.02
19.5,"background (deltaE=14 anchor)",#c5b6a1,true,77.9128,83,1.10
19.5,"highlight/cream",#fdf5e5,false,0.2512,3,5.21
19.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
19.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
19.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
19.5,"green-accent",#687b67,false,0.1258,12,1.33
19.5,"gray-accent",#7b7c78,false,0.2722,15,4.02
20,"background (deltaE=14 anchor)",#c5b6a1,true,77.9212,84,1.10
20,"highlight/cream",#fdf5e5,false,0.2512,3,5.21
20,"ink-dark",#2e1e11,false,2.2543,14,0.00
20,"ink-mid",#4e3b2c,false,5.7252,17,0.00
20,"blue-accent",#4e5c6d,false,0.1726,12,0.00
20,"green-accent",#667966,false,0.1174,11,2.13
20,"gray-accent",#7b7c78,false,0.2722,15,4.02
20.5,"background (deltaE=14 anchor)",#c4b59f,true,80.6018,87,1.58
20.5,"highlight/cream",#fdf5ea,false,0.1841,2,5.94
20.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
20.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
20.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
20.5,"green-accent",#667966,false,0.1174,11,2.13
20.5,"gray-accent",#7b7c78,false,0.2722,15,4.02
21,"background (deltaE=14 anchor)",#c4b59f,true,80.8984,90,1.58
21,"highlight/cream",#fdf5ea,false,0.1841,2,5.94
21,"ink-dark",#2e1e11,false,2.2543,14,0.00
21,"ink-mid",#4e3b2c,false,5.7252,17,0.00
21,"blue-accent",#4e5c6d,false,0.1726,12,0.00
21,"green-accent",#667966,false,0.1174,11,2.13
21,"gray-accent",#71787a,false,0.1665,13,1.33
21.5,"background (deltaE=14 anchor)",#c4b59f,true,81.0568,93,1.58
21.5,"highlight/cream",#fdf8f4,false,0.0364,1,9.12
21.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
21.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
21.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
21.5,"green-accent",#667966,false,0.1174,11,2.13
21.5,"gray-accent",#707779,false,0.1621,12,1.71
22,"background (deltaE=14 anchor)",#c4b59f,true,81.1810,94,1.58
22,"highlight/cream",#fdf8f4,false,0.0364,1,9.12
22,"ink-dark",#24170d,false,1.1509,10,5.15
22,"ink-mid",#402e1f,false,3.7973,16,5.94
22,"blue-accent",#4e5c6d,false,0.1726,12,0.00
22,"green-accent",#647662,false,0.1328,13,3.18
22,"gray-accent",#707779,false,0.1621,12,1.71
22.5,"background (deltaE=14 anchor)",#c4b59f,true,81.1810,94,1.58
22.5,"highlight/cream",#fdf8f4,false,0.0364,1,9.12
22.5,"ink-dark",#24170d,false,1.1509,10,5.15
22.5,"ink-mid",#402e1f,false,3.7973,16,5.94
22.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
22.5,"green-accent",#647662,false,0.1328,13,3.18
22.5,"gray-accent",#707779,false,0.1621,12,1.71
23,"background (deltaE=14 anchor)",#c4b59f,true,81.2236,96,1.58
23,"highlight/cream",#fdf8f4,false,0.0364,1,9.12
23,"ink-dark",#24170d,false,1.1509,10,5.15
23,"ink-mid",#412e20,false,3.8219,18,5.80
23,"blue-accent",#4e5c6d,false,0.1726,12,0.00
23,"green-accent",#647662,false,0.1328,13,3.18
23,"gray-accent",#707779,false,0.1621,12,1.71
23.5,"background (deltaE=14 anchor)",#c4b59f,true,81.5587,99,1.58
23.5,"highlight/cream",#fdf8f4,false,0.0364,1,9.12
23.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
23.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
23.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
23.5,"green-accent",#637561,false,0.1275,12,3.58
23.5,"gray-accent",#697377,false,0.1085,10,3.94
24,"background (deltaE=14 anchor)",#c4b59f,true,81.6612,103,1.58
24,"highlight/cream",#c4b59f,true,81.6612,103,17.94
24,"ink-dark",#2e1e11,false,2.2543,14,0.00
24,"ink-mid",#4e3b2c,false,5.7252,17,0.00
24,"blue-accent",#4e5c6d,false,0.1726,12,0.00
24,"green-accent",#637561,false,0.1275,12,3.58
24,"gray-accent",#6c7477,false,0.1313,11,3.07
24.5,"background (deltaE=14 anchor)",#c3b49e,true,82.5797,107,1.92
24.5,"highlight/cream",#c3b49e,true,82.5797,107,18.30
24.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
24.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
24.5,"blue-accent",#596b7f,false,0.0876,9,6.27
24.5,"green-accent",#637662,false,0.0986,9,3.29
24.5,"gray-accent",#697273,false,0.1186,9,4.08
25,"background (deltaE=14 anchor)",#c3b49e,true,82.6160,110,1.92
25,"highlight/cream",#c3b49e,true,82.6160,110,18.30
25,"ink-dark",#2e1e11,false,2.2543,14,0.00
25,"ink-mid",#4e3b2c,false,5.7252,17,0.00
25,"blue-accent",#596b7f,false,0.0876,9,6.27
25,"green-accent",#637662,false,0.0986,9,3.29
25,"gray-accent",#697273,false,0.1186,9,4.08
25.5,"background (deltaE=14 anchor)",#c3b49e,true,82.8623,113,1.92
25.5,"highlight/cream",#c3b49e,true,82.8623,113,18.30
25.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
25.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
25.5,"blue-accent",#596b7f,false,0.0876,9,6.27
25.5,"green-accent",#5e705d,false,0.1029,10,5.57
25.5,"gray-accent",#697273,false,0.1186,9,4.08
26,"background (deltaE=14 anchor)",#c3b39d,true,83.4799,117,2.31
26,"highlight/cream",#c3b39d,true,83.4799,117,18.61
26,"ink-dark",#2e1e11,false,2.2543,14,0.00
26,"ink-mid",#4e3b2c,false,5.7252,17,0.00
26,"blue-accent",#596b7f,false,0.0876,9,6.27
26,"green-accent",#5e705d,false,0.1029,10,5.57
26,"gray-accent",#687172,false,0.1103,8,4.46
